,矢板の全長,引張材位置,腹起し番号
2225,9.5,1.7,5
2226,12.7,4.2,4
2227,11.8,2.6,6
2228,10.9,1.5,9
2229,11.8,3.2,10
2230,5.4,1.7,10
2231,10.0,3.6,5
2232,11.7,7.7,4
2233,10.8,6.1,7
2234,10.0,2.3,9
2235,9.1,1.8,1
2236,8.2,4.3,3
2237,7.3,2.9,6
2238,18.6,6.7,5
2239,5.9,1.6,4
2240,5.0,0.9,6
2241,12.2,8.4,9
2242,11.3,6.5,1
2243,10.5,4.7,3
2244,13.7,2.8,2
2245,12.8,0.6,5
2246,11.9,1.6,7
2247,9.5,7.1,9
2248,8.6,5.4,2
2249,17.7,3.9,8
2250,16.9,2.5,10
2251,10.0,0.3,6
2252,15.1,4.2,4
2253,14.2,2.4,7
2254,15.9,6.0,6
2255,15.0,4.7,8
2256,7.7,3.6,10
2257,6.8,2.0,2
2258,18.2,4.7,2
2259,11.0,1.5,3
2260,12.2,2.8,9
2261,11.4,6.0,2
2262,4.2,1.5,3
2263,15.5,5.6,3
2264,12.3,1.3,1
2265,19.5,8.8,4
2266,9.1,7.0,6
2267,8.2,3.8,8
2268,12.7,2.6,4
2269,6.4,1.0,3
2270,16.8,7.3,5
2271,16.0,5.6,7
2272,8.7,2.1,9
2273,7.8,1.5,1
2274,8.7,5.1,3
2275,11.9,3.2,2
2276,6.9,2.6,7
2277,6.0,1.8,9
2278,4.6,2.4,8
2279,15.5,4.3,3
2280,15.1,3.8,9
2281,14.2,2.6,2
2282,12.4,3.3,6
2283,11.5,2.1,8
2284,18.7,4.3,1
2285,17.8,3.1,3
2286,11.4,1.4,2
2287,10.5,4.1,5
2288,9.6,2.7,7
2289,8.7,1.1,9
2290,13.8,0.9,8
2291,7.4,0.8,7
2292,14.6,7.6,10
2293,8.2,5.0,9
2294,12.8,4.3,4
2295,6.4,2.2,4
2296,5.5,1.6,6
2297,16.9,7.6,5
2298,16.0,5.3,8
2299,9.7,2.7,7
2300,8.8,1.6,9
2301,13.4,1.8,5
2302,12.5,1.3,7
2303,10.1,7.7,9
2304,12.4,3.1,1
2305,6.0,1.2,10
2306,13.2,3.9,3
2307,15.6,4.9,4
2308,9.2,2.3,4
2309,8.3,0.8,6
2310,15.6,3.1,8
2311,8.3,4.4,10
2312,11.5,1.7,9
2313,18.7,6.3,2
2314,12.4,3.5,1
2315,11.5,3.0,3
2316,10.6,3.8,6
2317,9.7,2.3,8
2318,10.5,4.3,10
2319,9.6,3.4,2
2320,8.8,0.6,4
2321,7.9,3.1,6
2322,9.6,6.8,6
2323,8.8,5.0,8
2324,7.9,3.8,10
2325,11.1,1.9,10
2326,10.2,1.3,2
2327,17.4,7.9,4
2328,16.5,5.8,7
2329,15.6,4.3,9
2330,15.2,1.4,5
2331,14.3,6.9,7
2332,7.0,2.5,9
2333,8.4,3.9,5
2334,13.3,2.9,3
2335,6.0,4.6,5
2336,4.2,1.9,10
2337,15.6,5.2,9
2338,8.8,1.3,5
2339,8.4,0.3,1
2340,9.7,6.9,7
2341,8.8,5.1,9
2342,12.1,2.6,8
2343,11.2,1.6,1
2344,18.4,2.9,3
2345,9.7,2.0,9
2346,17.0,7.0,1
2347,16.1,5.1,3
2348,9.7,2.7,3
2349,11.0,5.2,9
2350,10.2,1.5,1
2351,13.4,0.2,10
2352,12.5,2.5,3
2353,11.6,1.3,5
2354,11.1,1.3,1
2355,6.1,1.6,6
2356,17.5,8.6,5
2357,16.6,6.7,8
2358,10.2,3.9,7
2359,9.3,1.8,9
2360,8.4,1.0,2
2361,15.6,3.2,4
2362,9.2,6.2,3
2363,8.4,4.6,6
2364,7.5,3.4,8
2365,6.6,1.4,10
2366,18.0,2.4,9
2367,11.6,0.8,9
2368,16.2,5.4,4
2369,9.8,2.7,3
2370,13.8,2.7,5
2371,12.9,3.5,7
2372,12.1,2.1,9
2373,13.9,5.3,9
2374,13.0,3.9,1
2375,12.1,3.0,3
2376,7.1,0.7,8
2377,6.2,4.0,1
2378,15.2,3.4,6
2379,16.6,5.8,2
2380,15.7,3.2,5
2381,15.2,8.9,10
2382,8.4,3.6,6
2383,7.5,2.2,9
2384,9.3,5.2,8
2385,8.4,3.9,10
2386,7.5,3.2,3
2387,16.6,6.5,8
2388,9.9,1.7,4
2389,17.1,6.1,7
2390,8.5,1.4,2
2391,3.4,0.8,8
2392,10.6,9.0,10
2393,13.0,4.1,2
2394,12.1,1.9,4
2395,11.2,1.6,6
2396,10.4,0.9,8
2397,9.8,2.3,4
2398,9.0,1.2,7
2399,16.2,5.2,9
2400,11.1,2.3,4
2401,10.3,1.0,6
2402,13.5,4.3,6
2403,8.8,4.6,5
2404,7.1,2.6,9
2405,6.2,4.1,1
2406,9.4,1.9,5
2407,8.5,1.4,7
2408,9.3,6.3,9
2409,8.4,3.5,1
2410,7.5,2.3,3
2411,6.6,1.6,6
2412,5.7,2.6,8
2413,16.3,5.4,10
2414,15.4,4.0,2
2415,14.5,2.9,4
2416,13.9,5.5,10
2417,13.0,3.7,2
2418,14.4,5.6,8
2419,13.9,5.2,4
2420,18.5,2.0,9
2421,17.6,2.0,2
2422,11.3,4.6,1
2423,10.4,3.1,3
2424,15.3,3.4,2
2425,14.4,2.6,4
2426,13.5,4.3,7
2427,12.6,2.5,9
2428,7.6,2.1,4
2429,19.0,4.2,4
2430,5.4,2.2,5
2431,12.6,8.0,7
2432,10.8,3.9,2
2433,14.0,1.5,1
2434,13.1,2.9,3
2435,2.6,1.6,5
2436,9.9,7.0,8
2437,9.0,3.4,10
2438,17.2,7.2,8
2439,12.1,6.1,3
2440,11.3,4.4,6
2441,10.4,2.9,8
2442,9.9,3.5,4
2443,11.2,3.5,10
2444,10.4,7.6,2
2445,19.4,6.0,8
2446,11.8,2.3,6
2447,11.3,4.6,2
2448,6.2,4.0,7
2449,5.3,2.5,9
2450,16.8,5.1,9
2451,15.9,3.5,1
2452,15.0,2.3,3
2453,9.4,4.8,4
2454,8.5,4.6,7
2455,7.6,3.5,9
2456,10.0,1.7,1
2457,17.2,6.0,3
2458,15.5,2.6,8
2459,14.6,1.5,10
2460,9.9,6.7,9
2461,9.0,5.0,1
2462,12.2,2.9,10
2463,11.3,1.7,3
2464,10.5,1.0,5
2465,17.7,8.0,7
2466,15.9,3.2,2
2467,15.4,3.7,8
2468,15.9,8.9,6
2469,12.7,2.9,5
2470,11.8,1.7,7
2471,19.1,5.0,9
2472,18.2,3.7,1
2473,17.3,6.7,4
2474,16.8,5.0,10
2475,15.9,3.5,2
2476,15.0,1.7,4
2477,14.1,0.8,7
2478,13.2,3.2,9
2479,12.3,1.9,1
2480,19.6,5.6,3
2481,9.1,3.9,6
2482,12.3,2.2,5
2483,11.4,4.1,7
2484,16.3,5.5,6
2485,15.4,4.2,8
2486,14.6,1.2,1
2487,13.7,0.4,3
2488,15.5,7.9,2
2489,14.6,5.7,5
2490,7.3,1.9,6
2491,13.6,9.3,1
2492,10.4,3.3,10
2493,9.6,2.1,2
2494,11.4,4.1,1
2495,9.6,5.5,6
2496,8.7,3.7,8
2497,7.8,2.2,1
2498,6.9,1.2,3
2499,14.1,3.1,5
2500,13.2,8.1,8
2501,12.7,7.6,3
2502,17.3,6.4,9
2503,16.4,4.9,1
2504,10.0,3.0,10
2505,9.2,4.5,3
2506,8.3,3.1,5
2507,10.0,5.4,4
2508,9.1,3.5,7
2509,11.4,0.9,8
2510,10.6,2.3,1
2511,17.8,7.2,3
2512,5.0,2.4,2
2513,16.0,3.7,7
2514,15.5,3.6,3
2515,8.7,3.1,9
2516,7.8,1.7,1
2517,7.4,1.6,7
2518,6.5,0.8,10
2519,13.7,1.7,2
2520,7.3,5.9,1
2521,6.4,4.0,4
2522,4.6,1.5,8
2523,15.9,3.7,8
2524,9.2,1.3,3
2525,8.7,3.9,9
2526,7.9,2.5,1
2527,9.1,4.7,7
2528,8.7,5.0,3
2529,7.8,1.1,5
2530,18.8,1.1,1
2531,10.1,1.8,7
2532,5.1,1.6,2
2533,15.5,2.8,4
2534,14.6,1.7,6
2535,7.5,1.4,8
2536,14.7,6.1,10
2537,8.3,3.8,10
2538,11.5,2.0,9
2539,10.6,1.9,1
2540,12.0,4.8,7
2541,11.9,3.9,1
2542,11.4,2.8,7
2543,14.2,1.2,3
2544,16.0,8.8,2
2545,15.1,6.6,5
2546,14.2,4.9,7
2547,7.9,2.8,6
2548,7.0,1.9,9
2549,6.1,2.0,1
2550,13.3,7.6,3
2551,6.0,2.5,5
2552,5.1,2.3,7
2553,14.2,4.9,3
2554,15.6,7.6,9
2555,14.7,5.3,1
2556,14.2,5.0,7
2557,6.5,1.0,5
2558,6.1,2.9,1
2559,5.2,1.6,3
2560,9.8,1.7,8
2561,17.0,3.1,1
2562,16.1,2.9,3
2563,15.5,7.8,9
2564,14.6,5.6,1
2565,7.9,1.6,1
2566,17.0,6.1,7
2567,16.1,4.5,9
2568,17.5,6.5,5
2569,11.1,4.2,4
2570,10.2,1.0,7
2571,9.3,3.7,9
2572,8.7,3.6,5
2573,10.1,5.9,1
2574,12.4,1.9,2
2575,11.5,1.7,5
2576,10.8,1.6,7
2577,12.5,6.0,6
2578,11.6,3.9,9
2579,5.2,2.2,8
2580,16.5,5.1,7
2581,15.6,4.0,10
2582,9.2,4.3,9
2583,8.4,2.6,1
2584,10.1,5.4,1
2585,14.7,4.0,6
2586,8.4,2.3,5
2587,11.6,1.1,5
2588,12.9,6.7,10
2589,11.5,4.6,9
2590,10.6,3.3,1
2591,9.7,2.4,3
2592,8.9,3.2,6
2593,9.7,4.4,7
2594,12.1,1.2,9
2595,11.2,0.6,1
2596,12.9,7.1,1
2597,12.0,5.2,3
2598,5.3,1.3,9
2599,16.6,4.5,8
2600,15.7,3.6,10
2601,14.8,0.7,3
2602,8.5,1.8,2
2603,15.7,7.0,4
2604,14.8,5.2,7
2605,7.5,2.0,8
2606,6.6,1.4,1
2607,17.9,7.4,10
2608,17.1,4.9,2
2609,6.6,3.4,5
2610,14.8,2.1,3
2611,13.9,4.0,5
2612,7.5,1.5,4
2613,14.7,6.2,7
2614,8.0,1.8,3
2615,7.5,0.8,8
2616,5.8,1.9,3
2617,17.1,5.1,2
2618,16.2,3.5,5
2619,15.3,2.2,7
2620,10.3,1.1,2
2621,3.9,2.7,2
2622,13.4,3.6,6
2623,12.5,2.9,8
2624,6.2,2.1,7
2625,13.4,7.2,10
2626,12.5,5.3,2
2627,11.7,4.1,4
2628,10.8,3.2,6
2629,15.7,7.7,5
2630,14.8,5.0,8
2631,8.5,3.1,7
2632,13.0,2.4,2
2633,6.7,0.9,2
2634,13.9,8.7,4
2635,13.0,6.9,6
2636,6.6,4.0,5
2637,5.8,1.9,8
2638,17.1,3.1,7
2639,16.2,2.2,9
2640,15.3,6.4,2
2641,9.0,3.4,1
2642,8.1,2.2,3
2643,7.2,0.7,6
2644,14.4,2.6,8
2645,13.5,1.9,10
2646,7.1,4.2,10
2647,12.1,5.8,8
2648,11.2,3.6,1
2649,9.5,3.8,5
2650,8.6,2.2,8
2651,15.8,6.8,10
2652,14.9,5.4,2
2653,14.3,3.7,8
2654,7.6,2.5,4
2655,6.7,3.0,6
2656,6.3,3.5,2
2657,5.4,2.4,4
2658,16.2,3.5,10
2659,15.8,0.6,6
2660,14.9,5.5,8
2661,14.0,4.3,1
2662,7.6,1.5,10
2663,14.8,4.2,2
2664,13.9,2.0,5
2665,7.6,5.3,4
2666,6.7,3.7,6
2667,17.6,6.3,2
2668,4.9,1.5,1
2669,16.3,4.5,10
2670,9.0,3.1,2
2671,8.1,1.8,4
2672,15.3,6.1,7
2673,14.4,4.9,9
2674,13.5,1.1,1
2675,12.6,5.4,3
2676,6.3,2.4,3
2677,5.4,1.3,5
2678,12.6,5.4,7
2679,8.6,2.0,9
2680,10.3,6.6,8
2681,9.4,3.7,10
2682,8.6,2.5,3
2683,12.2,4.2,10
2684,14.0,8.8,9
2685,11.7,1.9,10
2686,4.9,1.4,6
2687,4.0,2.1,8
2688,15.4,6.6,7
2689,14.5,3.7,10
2690,13.6,2.5,2
2691,13.1,0.7,8
2692,12.2,4.7,10
2693,11.3,3.2,2
2694,10.4,2.1,5
2695,9.5,1.2,7
2696,16.7,1.9,9
2697,15.8,7.0,2
2698,9.6,3.9,1
2699,14.5,4.2,10
2700,15.0,2.3,8
2701,6.3,2.5,8
2702,5.4,1.7,10
2703,4.5,1.2,2
2704,3.7,1.7,5
2705,15.0,6.0,4
2706,8.2,1.5,10
2707,13.2,2.1,9
2708,12.3,1.5,1
2709,11.4,2.3,3
2710,13.1,6.7,3
2711,6.8,3.9,2
2712,5.9,2.9,4
2713,17.2,5.9,4
2714,16.3,1.3,6
2715,15.4,6.3,8
2716,9.1,3.4,8
2717,10.4,5.9,3
2718,9.5,3.1,6
2719,12.8,1.2,5
2720,11.9,0.7,7
2721,13.6,7.4,7
2722,12.7,5.4,9
2723,11.8,4.0,1
2724,11.0,3.0,4
2725,12.7,5.9,3
2726,11.8,1.3,5
2727,15.0,5.0,5
2728,14.1,3.3,7
2729,13.2,2.2,9
2730,15.0,4.8,9
2731,14.1,4.0,1
2732,7.8,2.2,10
2733,11.8,3.2,1
2734,16.4,3.1,7
2735,10.0,1.4,6
2736,11.7,8.9,5
2737,10.8,6.9,8
2738,14.5,3.6,5
2739,8.3,1.7,5
2740,13.2,6.6,3
2741,12.3,4.8,6
2742,7.3,3.2,1
2743,9.6,0.7,3
2744,16.8,9.1,5
2745,12.9,1.9,6
2746,12.0,1.1,8
2747,9.6,1.1,1
2748,8.7,6.7,3
2749,12.7,4.9,4
2750,16.0,2.7,3
2751,16.4,7.9,1
2752,15.0,4.3,10
2753,14.2,3.1,2
2754,13.3,2.4,4
2755,6.9,2.9,4
2756,13.2,5.2,8
2757,12.3,3.6,10
2758,11.4,2.6,3
2759,5.1,1.2,2
2760,9.1,3.6,3
2761,7.4,0.7,8
2762,14.6,9.5,10
2763,13.7,7.2,2
2764,10.6,2.0,1
2765,9.7,1.1,3
2766,11.0,2.3,9
2767,10.5,5.6,5
2768,15.1,5.0,10
2769,13.3,2.8,5
2770,12.4,0.6,7
2771,12.0,3.8,3
2772,11.1,2.0,5
2773,12.4,4.0,1
2774,17.4,4.3,10
2775,16.5,3.4,2
2776,10.1,4.5,2
2777,9.2,3.1,4
2778,8.3,1.4,6
2779,15.5,6.0,9
2780,14.6,4.7,1
2781,8.3,0.4,10
2782,18.8,7.9,2
2783,17.9,4.8,4
2784,17.0,3.1,7
2785,10.6,1.3,6
2786,9.7,3.2,8
2787,8.8,1.8,10
2788,10.5,5.7,10
2789,14.6,4.8,1
2790,13.8,7.3,3
2791,18.3,5.8,8
2792,7.9,3.9,1
2793,10.2,1.0,2
2794,9.3,1.8,5
2795,16.5,7.4,7
2796,7.9,1.1,3
2797,15.1,4.2,5
2798,7.8,4.7,7
2799,7.0,3.3,9
2800,11.5,3.2,4
2801,13.3,4.1,4
2802,12.4,2.4,6
2803,11.5,1.1,8
2804,10.6,5.1,1
2805,9.8,3.4,3
2806,13.8,2.7,4
2807,7.4,3.4,3
2808,13.7,7.2,8
2809,12.0,1.8,3
2810,11.1,0.7,5
2811,10.6,5.4,1
2812,3.9,1.3,7
2813,8.8,2.8,5
2814,13.4,1.9,1
2815,12.5,3.5,3
2816,14.2,7.9,2
2817,13.3,6.0,5
2818,7.0,3.6,4
2819,10.3,1.6,3
2820,5.3,1.7,8
2821,16.6,7.7,8
2822,15.7,5.4,10
2823,14.8,3.5,2
2824,8.4,1.6,2
2825,7.5,0.8,4
2826,9.2,2.0,4
2827,8.4,5.5,6
2828,7.5,3.8,8
2829,6.6,2.5,10
2830,5.7,1.5,3
2831,17.1,4.1,2
2832,16.2,6.6,4
2833,9.8,3.7,4
2834,8.9,1.8,6
2835,10.6,4.1,5
2836,13.9,3.7,5
2837,13.0,1.2,7
2838,6.6,1.6,7
2839,13.8,6.9,9
2840,7.1,2.7,5
2841,6.6,2.9,1
2842,17.5,4.4,6
2843,4.8,1.2,5
2844,16.2,6.7,4
2845,14.4,2.7,9
2846,13.5,1.5,1
2847,15.2,2.2,1
2848,11.7,1.7,6
2849,13.4,5.8,5
2850,8.4,4.9,1
2851,17.5,3.6,6
2852,16.7,3.1,9
2853,15.8,5.9,1
2854,14.9,4.3,3
2855,9.9,4.0,9
2856,13.1,1.9,8
2857,13.9,6.8,10
2858,7.5,3.6,9
2859,6.6,2.1,1
2860,5.7,1.1,4
2861,17.1,3.4,3
2862,10.8,1.8,2
2863,5.8,4.6,8
2864,9.0,1.9,7
2865,15.3,5.2,2
2866,14.4,3.9,4
2867,13.5,3.0,6
2868,7.1,2.4,6
2869,18.4,5.8,5
2870,8.0,3.9,7
2871,7.1,2.5,9
2872,6.2,1.5,2
2873,9.4,1.9,1
2874,4.4,1.9,6
2875,9.4,3.3,5
2876,14.0,2.9,10
2877,7.6,1.4,10
2878,8.5,4.8,1
2879,7.6,3.1,4
2880,6.7,1.8,6
2881,5.8,0.9,8
2882,17.1,8.5,8
2883,16.2,6.2,10
2884,9.9,3.5,9
2885,9.0,2.3,2
2886,10.7,4.8,1
2887,9.8,3.5,3
2888,13.1,4.9,3
2889,6.7,2.2,2
2890,13.9,7.4,4
2891,6.6,1.6,6
2892,17.6,2.1,2
2893,11.2,0.8,1
2894,16.3,6.5,10
2895,15.4,4.6,2
2896,8.5,1.3,8
2897,8.1,1.6,4
2898,9.5,2.6,10
2899,12.7,3.6,9
2900,11.8,2.2,2
2901,13.5,6.2,1
2902,12.6,4.8,3
2903,6.2,1.1,3
2904,5.3,0.4,5
2905,16.7,7.5,4
2906,15.8,5.3,7
2907,15.0,3.7,9
2908,14.1,2.3,1
2909,13.2,1.4,4
2910,14.9,8.9,3
2911,19.5,7.5,8
2912,18.0,5.8,6
2913,17.2,4.6,9
2914,15.4,4.3,3
2915,9.0,1.9,3
2916,9.9,2.7,4
2917,14.5,1.8,9
2918,18.5,6.1,10
2919,17.7,4.6,3
2920,16.8,3.3,5
2921,12.1,7.5,4
2922,16.7,5.9,9
2923,13.6,1.6,8
2924,12.7,0.8,10
2925,11.8,1.8,2
2926,8.6,5.1,7
2927,7.7,3.6,9
2928,6.8,3.0,2
2929,5.9,3.9,4
2930,17.2,8.4,3
2931,16.3,5.7,6
2932,9.9,2.6,5
2933,15.0,1.9,4
2934,8.1,1.6,10
2935,7.3,2.0,2
2936,9.1,5.8,1
2937,11.4,2.0,3
2938,13.1,4.1,2
2939,12.2,2.8,5
2940,15.4,4.6,4
2941,4.9,3.2,6
2942,16.2,6.9,6
2943,15.4,5.4,8
2944,14.6,1.2,10
2945,8.2,4.2,10
2946,7.3,2.5,2
2947,8.7,5.2,8
2948,8.1,4.1,4
2949,7.2,2.7,6
2950,6.3,1.7,8
2951,5.4,3.4,1
2952,16.7,7.5,10
2953,8.6,2.4,4
2954,10.0,1.2,10
2955,9.5,7.0,6
2956,7.7,3.2,10
2957,12.3,3.3,5
2958,16.4,6.3,6
2959,15.4,3.0,3
2960,12.3,2.9,1
2961,11.4,1.6,4
2962,6.4,1.3,9
2963,17.7,2.3,8
2964,12.7,8.6,4
2965,4.1,1.6,9
2966,15.1,4.0,5
2967,14.2,1.7,8
2968,9.5,2.8,6
2969,12.8,3.8,6
2970,13.7,6.4,7
2971,6.9,2.2,3
2972,6.0,1.3,6
2973,5.5,0.5,1
2974,4.6,1.6,4
2975,6.0,4.1,10
2976,15.0,3.7,5
2977,14.1,2.5,8
2978,8.2,3.6,5
2979,7.3,2.1,7
2980,6.9,2.9,3
2981,6.0,0.8,6
2982,5.1,0.2,8
2983,12.3,7.8,10
2984,11.4,6.1,3
2985,9.6,2.2,7
2986,14.6,7.5,6
2987,13.7,5.5,8
2988,12.8,4.1,10
2989,13.7,2.5,2
2990,11.9,6.5,7
2991,11.0,4.8,9
2992,4.6,2.3,8
2993,3.7,1.5,1
2994,10.9,1.9,3
2995,10.0,7.6,5
2996,13.3,4.3,5
2997,6.9,1.7,4
2998,14.1,5.7,6
2999,13.3,4.6,9
3000,12.4,3.9,1
3001,11.5,5.3,3
3002,5.1,2.4,3
3003,4.2,1.3,5
3004,15.6,3.8,4
3005,14.7,2.9,7
3006,8.3,1.3,6
3007,9.1,6.2,8
3008,8.2,3.3,10
3009,7.3,2.2,2
3010,10.6,0.8,2
3011,17.0,7.1,6
3012,16.1,5.6,9
3013,9.7,3.2,8
3014,10.5,1.4,10
3015,8.7,4.9,4
3016,12.0,0.2,8
3017,16.6,5.9,3
3018,10.2,3.1,2
3019,9.3,2.0,4
3020,8.4,1.2,7
3021,13.3,4.3,6
3022,12.4,2.5,8
3023,14.2,5.3,7
3024,7.4,2.5,3
3025,6.1,1.3,1
3026,5.2,2.3,4
3027,16.5,6.4,3
3028,11.5,4.5,8
3029,10.6,3.3,10
3030,15.6,9.5,9
3031,14.7,7.3,1
3032,13.8,5.7,4
3033,12.9,2.8,6
3034,6.5,1.1,5
3035,5.6,0.6,8
3036,17.0,7.1,7
3037,10.2,2.3,3
3038,9.7,2.6,9
3039,14.3,2.8,4
3040,3.8,0.8,6
3041,15.2,0.8,6
3042,14.3,6.1,8
3043,7.9,3.2,7
3044,12.5,3.2,3
3045,11.6,1.0,5
3046,6.1,4.0,6
3047,4.3,1.7,1
3048,9.3,2.2,9
3049,8.4,3.9,2
3050,19.7,8.0,1
3051,9.2,4.6,3
3052,10.6,3.2,7
3053,9.7,1.8,10
3054,17.1,7.3,2
3055,16.2,3.9,4
3056,15.3,2.8,6
3057,14.4,2.1,9
3058,13.8,5.4,5
3059,12.9,3.9,7
3060,12.0,2.8,9
3061,11.1,0.8,2
3062,12.9,0.6,1
3063,12.0,6.3,3
3064,5.7,3.4,3
3065,16.6,5.9,8
3066,10.3,3.4,8
3067,15.2,3.7,7
3068,13.4,4.2,1
3069,7.1,1.7,1
3070,14.3,5.1,3
3071,12.5,3.2,7
3072,6.1,4.1,7
3073,4.4,1.3,1
3074,8.9,0.9,7
3075,10.7,3.5,6
3076,9.8,6.4,8
3077,8.9,4.4,1
3078,12.1,1.7,10
3079,13.0,2.8,2
3080,6.6,1.2,1
3081,5.7,2.8,3
3082,4.8,1.5,6
3083,16.1,5.3,5
3084,15.3,2.3,7
3085,10.2,1.6,3
3086,10.2,6.6,7
3087,12.6,2.8,8
3088,11.7,1.8,10
3089,13.4,9.1,10
3090,16.6,5.6,9
3091,15.7,4.0,2
3092,9.3,1.8,1
3093,8.6,1.2,3
3094,15.8,4.7,6
3095,14.9,6.7,8
3096,8.5,3.6,7
3097,7.6,2.3,10
3098,6.7,1.5,2
3099,13.9,3.6,4
3100,10.7,3.6,3
3101,9.8,1.8,5
3102,9.0,0.9,7
3103,10.8,2.7,7
3104,15.3,4.1,2
3105,9.0,4.5,1
3106,13.9,5.4,10
3107,7.2,1.5,6
3108,14.4,4.2,8
3109,5.8,0.3,4
3110,10.3,2.4,9
3111,12.1,6.2,9
3112,16.7,5.5,4
3113,10.3,1.8,3
3114,9.4,2.4,6
3115,8.5,3.1,8
3116,7.7,1.6,10
3117,7.2,1.9,6
3118,6.3,1.2,8
3119,13.5,4.4,1
3120,16.7,6.0,10
3121,18.1,8.3,6
3122,17.2,6.2,8
3123,16.6,4.4,4
3124,15.7,3.4,6
3125,14.0,5.3,1
3126,13.1,3.1,3
3127,6.8,1.1,3
3128,14.0,3.8,5
3129,7.6,1.8,4
3130,6.7,4.7,7
3131,9.9,1.9,6
3132,17.1,6.9,8
3133,9.0,0.9,2
3134,8.2,2.6,5
3135,7.3,1.4,7
3136,13.6,2.3,1
3137,12.7,1.0,4
3138,11.2,4.3,2
3139,10.3,3.1,4
3140,9.4,2.3,7
3141,8.6,0.3,9
3142,15.8,8.7,1
3143,14.9,6.7,3
3144,7.7,3.0,5
3145,12.6,2.7,4
3146,10.8,2.8,2
3147,9.9,6.2,5
3148,14.5,5.6,10
3149,8.1,3.0,9
3150,13.1,2.2,8
3151,5.9,2.8,10
3152,6.3,3.2,8
3153,15.4,3.9,4
3154,16.8,3.5,10
3155,15.9,1.9,2
3156,15.3,7.6,8
3157,14.5,5.8,10
3158,7.7,2.0,6
3159,7.2,2.3,2
3160,6.4,1.7,4
3161,5.5,1.6,6
3162,16.8,5.3,6
3163,15.9,3.8,8
3164,15.0,2.7,10
3165,8.6,1.1,10
3166,15.8,3.9,2
3167,14.9,6.6,4
3168,14.0,4.7,7
3169,18.2,2.8,8
3170,17.3,6.6,10
3171,6.8,4.9,2
3172,5.9,3.5,5
3173,5.0,2.4,7
3174,11.3,0.7,1
3175,10.4,6.6,4
3176,13.6,3.7,3
3177,12.7,2.3,5
3178,11.8,1.3,8
3179,11.4,4.0,4
3180,10.5,2.4,6
3181,11.9,4.9,2
3182,11.3,4.5,8
3183,10.4,3.5,10
3184,15.0,3.4,5
3185,14.1,4.3,7
3186,13.2,2.7,10
3187,15.0,5.3,9
3188,14.1,3.5,1
3189,7.7,1.8,1
3190,6.9,4.1,3
3191,6.0,2.5,5
3192,5.1,1.4,8
3193,4.6,1.4,3
3194,3.7,1.0,6
3195,10.9,8.3,8
3196,14.1,5.2,7
3197,15.5,6.5,3
3198,8.2,2.2,5
3199,6.4,0.6,10
3200,6.0,3.2,5
3201,16.9,5.2,1
3202,16.0,3.6,4
3203,15.5,1.5,9
3204,8.8,1.0,5
3205,9.6,5.3,7
3206,8.7,3.9,9
3207,7.3,1.1,7
3208,11.8,4.6,3
3209,11.0,3.1,5
3210,10.1,1.8,7
3211,11.9,4.4,7
3212,11.0,3.0,9
3213,10.1,5.8,1
3214,9.2,4.1,3
3215,8.6,4.4,9
3216,13.2,4.0,4
3217,6.9,0.6,4
3218,16.5,4.3,8
3219,15.6,2.8,10
3220,9.2,1.2,10
3221,16.4,3.1,2
3222,15.5,7.5,4
3223,14.6,5.7,6
3224,8.2,3.3,6
3225,7.4,2.2,8
3226,11.9,2.0,3
3227,13.7,8.5,3
3228,11.4,3.2,3
3229,10.5,2.0,5
3230,15.1,6.3,1
3231,8.7,3.4,10
3232,7.9,2.1,2
3233,7.0,1.2,5
3234,14.2,4.5,7
3235,12.8,6.0,5
3236,11.9,4.0,7
3237,5.1,1.2,3
3238,4.7,1.1,9
3239,3.8,2.4,1
3240,11.0,7.7,4
3241,10.1,5.7,6
3242,9.2,4.1,8
3243,8.3,3.0,1
3244,7.4,2.0,3
3245,6.5,2.9,5
3246,6.1,2.5,1
3247,5.2,1.4,3
3248,4.3,0.6,6
3249,11.5,9.0,8
3250,14.7,5.5,7
3251,13.8,3.8,10
3252,12.9,2.4,2
3253,12.0,1.4,4
3254,11.1,0.8,6
3255,6.5,3.8,5
3256,5.6,2.5,8
3257,4.8,1.6,10
3258,11.1,7.7,4
3259,9.3,4.3,9
3260,8.7,3.2,5
3261,7.8,2.0,7
3262,6.1,2.6,2
3263,5.2,1.4,4
3264,12.4,5.6,6
3265,11.5,4.4,9
3266,10.6,0.6,1
3267,15.6,6.5,10
3268,14.7,4.4,2
3269,13.8,2.9,4
3270,12.9,2.7,7
3271,12.0,4.2,9
3272,11.5,4.2,5
3273,12.9,5.5,1
3274,12.0,4.0,3
3275,8.9,1.2,2
3276,16.1,8.4,4
3277,9.7,4.6,3
3278,8.8,2.9,6
3279,12.1,1.1,5
3280,19.3,2.8,7
3281,18.4,1.5,10
3282,11.9,4.6,3
3283,16.5,1.6,8
3284,15.6,6.9,10
3285,14.7,5.1,3
3286,8.5,2.6,2
3287,14.8,2.1,7
3288,8.4,0.4,6
3289,7.5,4.7,8
3290,6.6,3.2,1
3291,15.7,2.9,7
3292,5.2,1.9,9
3293,16.1,4.0,5
3294,15.7,7.6,1
3295,14.8,5.9,3
3296,8.1,1.5,9
3297,7.5,1.1,5
3298,6.6,0.3,7
3299,7.4,5.0,9
